Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,Monthly.Income.Fake,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,Interest.Rate.Clean,Loan.Length.Clean,FICO.Score
18825,18825,14.09%,36 months,credit_card,13.08%,MI,RENT,4000,5785.371185,710-714,6,20694,1,4 years,0.1409,36,710
20000,2050,12.84%,36 months,home_improvement,1.49%,MI,MORTGAGE,3500,4809.985731,750-754,6,1954,5,2 years,0.1284,36,750
20000,20000,16.29%,36 months,debt_consolidation,23.59%,MI,MORTGAGE,5833.33,7244.137679,680-684,14,12696,1,< 1 year,0.1629,36,680
1200,1200,15.80%,36 months,debt_consolidation,27.14%,MI,RENT,2166.67,3481.676662,665-669,9,9076,1,3 years,0.158,36,665
6000,6000,11.71%,36 months,other,21.45%,MI,RENT,3100,3982.088,685-689,18,10426,0,2 years,0.1171,36,685
9950,9925,13.11%,36 months,debt_consolidation,24.21%,MI,MORTGAGE,2500,3221.559568,705-709,17,16618,1,10+ years,0.1311,36,705
9050,9050,13.11%,36 months,credit_card,20.58%,MI,MORTGAGE,5166.67,9106.694246,700-704,9,7571,1,7 years,0.1311,36,700
8500,8500,15.80%,36 months,debt_consolidation,17.40%,MI,RENT,2500,4928.934761,690-694,6,6491,1,1 year,0.158,36,690
1000,1000,13.16%,36 months,other,19.63%,MI,RENT,3500,6288.243845,670-674,9,11189,2,2 years,0.1316,36,670
6000,6000,15.96%,36 months,credit_card,22.10%,MI,RENT,5583.33,7913.692798,665-669,9,36748,3,5 years,0.1596,36,665
3600,3600,9.76%,36 months,credit_card,11.34%,MI,RENT,2108.33,2595.142499,695-699,14,4467,0,n/a,0.0976,36,695
22000,22000,13.99%,60 months,debt_consolidation,18.28%,MI,MORTGAGE,6083.33,6520.700562,720-724,9,20181,0,8 years,0.1399,60,720
10000,10000,13.11%,36 months,debt_consolidation,20.34%,MI,RENT,5416.67,10730.62308,675-679,9,8066,0,10+ years,0.1311,36,675
6000,5905.66,17.90%,36 months,credit_card,6.60%,MI,RENT,4166.67,4587.035914,675-679,5,3433,1,2 years,0.179,36,675
25000,25000,7.90%,36 months,debt_consolidation,18.66%,MI,MORTGAGE,7083.33,11428.69981,710-714,17,47504,0,9 years,0.079,36,710
15000,14875,13.11%,36 months,wedding,13.75%,MI,MORTGAGE,4166.67,4680.845259,700-704,11,8014,4,2 years,0.1311,36,700
10000,10000,12.12%,36 months,credit_card,15.60%,MI,OWN,3833.33,7203.802882,685-689,6,4734,0,10+ years,0.1212,36,685
6000,6000,17.77%,36 months,credit_card,32.76%,MI,OWN,1666.67,2034.213948,665-669,12,15055,2,< 1 year,0.1777,36,665
15000,15000,14.65%,36 months,debt_consolidation,20.07%,MI,MORTGAGE,3666.67,6960.289295,690-694,11,13843,1,5 years,0.1465,36,690
10000,10000,17.27%,36 months,credit_card,21.84%,MI,MORTGAGE,2916.67,4908.81077,665-669,18,21245,0,10+ years,0.1727,36,665
15000,15000,13.99%,36 months,debt_consolidation,12.60%,MI,MORTGAGE,3500,4745.925053,705-709,7,13036,1,10+ years,0.1399,36,705
25000,25000,13.06%,36 months,other,4.14%,MI,MORTGAGE,11500,14214.17637,735-739,4,6578,0,< 1 year,0.1306,36,735
2000,2000,8.90%,36 months,car,23.70%,MI,OWN,3000,3146.257338,730-734,5,2117,1,10+ years,0.089,36,730
8500,8500,17.77%,36 months,other,18%,MI,RENT,2583.33,4443.813167,665-669,9,13718,0,2 years,0.1777,36,665
17000,17000,11.49%,36 months,debt_consolidation,13.69%,MI,RENT,5083.33,6635.300318,695-699,9,13883,0,4 years,0.1149,36,695
24000,23800,21.14%,60 months,other,12.92%,MI,RENT,9166.67,15825.93851,660-664,7,4324,0,10+ years,0.2114,60,660
14500,14500,14.09%,36 months,debt_consolidation,27.78%,MI,MORTGAGE,6250,7584.569726,705-709,9,46129,0,10+ years,0.1409,36,705
27050,27050,19.05%,60 months,debt_consolidation,12.89%,MI,MORTGAGE,5083.33,5112.146463,690-694,8,15793,0,6 years,0.1905,60,690
9000,8975,14.65%,36 months,credit_card,14.36%,MI,RENT,2500,4769.554762,665-669,10,11540,0,< 1 year,0.1465,36,665
9600,9600,10.74%,60 months,other,3.58%,MI,MORTGAGE,8000,13078.98997,725-729,7,3207,0,3 years,0.1074,60,725
35000,35000,17.27%,60 months,debt_consolidation,27.13%,MI,OWN,10000,16713.66629,705-709,11,42867,0,1 year,0.1727,60,705
9000,7650,11.03%,36 months,credit_card,12.72%,MI,MORTGAGE,5666.67,10129.60937,685-689,22,36164,1,8 years,0.1103,36,685
