,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,Interest.Rate.Clean,Loan.Length.Clean,FICO.Score,Region,Grade,Employment.Length.Clean,Columbus.Employment.Length
18,14000,13900.25,10.37%,60 months,debt_consolidation,11.95%,OH,RENT,4333.33,740-744,6,7419,0,9 years,0.1037,60,740,Midwest,B,9,2
64,9000,9000,15.80%,36 months,debt_consolidation,22.65%,OH,MORTGAGE,3250,665-669,9,16480,0,3 years,0.158,36,665,Midwest,C,3,2
105,15000,15000,10.65%,36 months,small_business,16.15%,OH,MORTGAGE,7083.33,720-724,14,338,2,9 years,0.1065,36,720,Midwest,B,9,3
130,16000,15950,15.70%,36 months,debt_consolidation,23.51%,OH,MORTGAGE,9333.33,675-679,20,12721,5,10+ years,0.157,36,675,Midwest,C,10,4
187,12000,12000,16.89%,60 months,small_business,15.24%,OH,MORTGAGE,7500,675-679,14,28589,2,3 years,0.1689,60,675,Midwest,D,3,2
197,18000,17738.58,10.59%,60 months,major_purchase,15.03%,OH,MORTGAGE,4000,755-759,9,6718,0,10+ years,0.1059,60,755,Midwest,B,10,3
221,16450,16450,15.31%,36 months,debt_consolidation,11.66%,OH,MORTGAGE,6666.67,685-689,8,12697,3,9 years,0.1531,36,685,Midwest,C,9,5
243,5000,4900,7.74%,36 months,other,14.40%,OH,RENT,5166.67,750-754,8,15489,1,10+ years,0.0774,36,750,Midwest,A,10,7
307,5000,5000,9.91%,36 months,debt_consolidation,28.77%,OH,RENT,3166.67,750-754,3,0,1,n/a,0.0991,36,750,Midwest,B,10,8
344,12300,12300,15.31%,36 months,debt_consolidation,19.26%,OH,MORTGAGE,5000,710-714,13,4460,2,10+ years,0.1531,36,710,Midwest,C,10,1
400,16500,16400,11.71%,60 months,small_business,12.07%,OH,MORTGAGE,2750,775-779,11,2316,1,4 years,0.1171,60,775,Midwest,C,4,1
403,10000,10000,6.03%,36 months,debt_consolidation,24.66%,OH,MORTGAGE,2940.25,755-759,8,5904,0,10+ years,0.0603,36,755,Midwest,A,10,1
427,6000,6000,13.11%,36 months,credit_card,16.75%,OH,MORTGAGE,4166.67,670-674,9,4500,0,< 1 year,0.1311,36,670,Midwest,C,0.5,2
436,4000,3882.78,5.79%,36 months,moving,23.94%,OH,RENT,4666.67,760-764,7,2889,2,9 years,0.0579,36,760,Midwest,A,9,3
445,10000,10000,14.65%,36 months,debt_consolidation,16.68%,OH,MORTGAGE,8333.33,680-684,18,39461,2,4 years,0.1465,36,680,Midwest,C,4,4
449,24000,23975,10.16%,36 months,debt_consolidation,15.53%,OH,MORTGAGE,5416.67,720-724,11,17882,0,10+ years,0.1016,36,720,Midwest,B,10,5
531,15300,14850,11.14%,36 months,debt_consolidation,11.31%,OH,MORTGAGE,6833.33,670-674,11,7106,2,10+ years,0.1114,36,670,Midwest,B,10,1
